book,chapter,verse,verse_end,type,marker,text
Genesis,2,2,,reader,a,"Die Masoretiese Teks lees ""sewende dag""; die Samaritaanse Pentateug, Septuagint en Peshitta lees ""sesde dag""."
Genesis,2,2,,translator,,"**Verse 2 — ""op die sewende dag … voltooi"": textual variant.** MT (WLC) reads that God finished ""on the seventh day."" The Samaritan Pentateuch, LXX and Peshitta read ""on the **sixth** day"" (harmonising away the apparent implication that God worked on the seventh). Per policy we **follow the MT** in the body and note the variant here. No change needed."
Genesis,2,2,,translator,,"**Verse 2 — *melakhah* / *asah*.** *asah* → ""gedoen/gemaak"" (committed: *asah* = maak, distinct from *bara* = skep). Rendered ""werk wat Hy gedoen het"" for natural Afrikaans."
Genesis,2,3,,translator,,"**Verse 3 — *bara … la'asot*.** Literally ""which God created to make/do."" Rendered ""geskep het deur dit te maak."" Note that **both** committed verbs appear together here (*bara* + *asah*); the distinction is preserved (skep / maak)."
Genesis,2,4,,translator,,"**Verse 4 — *toledot*.** ""wordingsgeskiedenis"" (account of origins). *toledot* is the structuring formula of Genesis (""these are the generations/account of…""); elsewhere it heads genealogies. A shorter ""Dit is die geskiedenis van…"" is also fine — flagged for register preference."
Genesis,2,6,,reader,a,"Die Hebreeuse woord *'ed* is onseker — ""damp"", of moontlik ""ondergrondse stroom""."
Genesis,2,6,,translator,,"**Verse 6 — *'ed*.** Rendered ""'n damp"" (mist). The word is rare and disputed: ""mist/vapour"" (so older translations, via the versions) or ""stream/subterranean spring"" (so many modern scholars, via an Akkadian cognate *edû*). Genuinely uncertain — flagged for the theologian. If ""stream"" is preferred: ""'n waterstroom het uit die aarde opgestyg."""
Genesis,2,7,,reader,a,Woordspel in die Hebreeus: die *mens* (*adam*) word uit die *grond* (*adamah*) gevorm.
Genesis,2,7,,translator,,"**Verse 7 — *adam* / *adamah* wordplay.** The Hebrew puns: *ha-adam* (the human) is formed from the *adamah* (ground/soil). Afrikaans cannot reproduce the pun directly (""mens"" / ""grond""). Left naturalised; the connection is worth a printed footnote. Per glossary, *adam* stays the common noun **""die mens""** here (the *adam* → proper-name ""Adam"" decision is deferred to Genesis 4)."
Genesis,2,7,,translator,,"**Verse 7 — *yatsar*.** ""geformeer"" (the potter's verb). Committed glossary lists *yatsar* → ""vorm/formeer"" (🟡 provisional); I used **""geformeer""** consistently here and at v.8, v.19. Recommend committing ""formeer"". Distinct from *bara* (skep, 1:1; 2:3) and *asah* (maak)."
Genesis,2,7,,translator,,"**Verse 7 — *nephesh chayyah*.** ""'n lewende wese"" — per the now-committed *nephesh* context rule (creatures → ""lewende wese""). Same phrase rendered identically at **v.19** (of the animals), deliberately consistent with Genesis 1 and avoiding the v.27/v.30 drift flagged in genesis-01."
Genesis,2,7,,translator,,"**Verse 7 — *nishmat chayyim*.** ""die asem van die lewe"" (*neshamah*, breath). Distinct from *nephesh* (the living being that results) and from *ruach* (Gees/wind). Kept distinct in Afrikaans."
Genesis,2,8,,translator,,"**Verse 8 — *miqqedem*.** ""in die ooste"" (spatial). Can also mean ""of old / aforetime"" (temporal). Most translations take the spatial sense given the geographic detail that follows. Noted."
Genesis,2,11,14,translator,,"**Verses 11–14 — proper names and minerals.** Per the proper-names policy, established Afrikaans geographic forms are used: **Tigris** and **Eufraat** (v.14) rather than transliterating *Chiddeqel* / *Perat*; **Kus** for *Kush* (v.13). Lesser names transliterated: **Pison**, **Gihon**, **Havila**. *bedolach* (v.12) → ""balsemhars"" (bdellium, an aromatic gum resin) and *shoham* → ""onikssteen"" — both mineral/resin identifications are uncertain; alternatives: bdellium left untranslated, *shoham* as ""karneool/lapis"". Flagged for the reviewer."
Genesis,2,18,,translator,,"**Verses 18, 20 — *ezer kenegdo*.** ""'n helper wat by hom pas"" (a helper corresponding to / suitable for him). Avoided the loaded ""hulp"" alone and the archaic AFR53 ""'n hulp wat by hom pas"". *ezer* carries no subordinate connotation in Hebrew (it is used of God elsewhere); the rendering deliberately does not imply inferiority. Flagged for the theologian."
Genesis,2,20,,translator,,"**Verses 18, 20 — *ezer kenegdo*.** ""'n helper wat by hom pas"" (a helper corresponding to / suitable for him). Avoided the loaded ""hulp"" alone and the archaic AFR53 ""'n hulp wat by hom pas"". *ezer* carries no subordinate connotation in Hebrew (it is used of God elsewhere); the rendering deliberately does not imply inferiority. Flagged for the theologian."
Genesis,2,20,,translator,,"**Verse 20 — *ul'adam*.** ""maar vir Adam"" — anarthrous *l'adam* (without the article), the first occurrence rendered as the proper name ""Adam"". Per the committed *adam* article rule (`TRANSLATION_POLICY.md` / glossary, 2026-05-31): arthrous *ha-adam* → ""die mens"" (so the first clause of this verse stays ""die mens""), anarthrous *adam* of the individual → ""Adam"". Back-applied here at promotion of Genesis 4."
Genesis,2,21,22,translator,,"**Verses 21–22 — *tsela*.** ""rib(be)"". *tsela* usually means ""side"" (as in the side of the tabernacle); ""rib"" is the traditional rendering here and reads naturally. Noted; ""rib"" retained. *banah* (v.22, ""to build"") → ""gebou"", a slightly unusual verb deliberately preserved."
Genesis,2,23,,reader,a,Woordspel in die Hebreeus: *vrou* (*ishshah*) is uit die *man* (*ish*) geneem.
Genesis,2,23,,translator,,"**Verse 23 — *ishshah* / *ish* wordplay.** The pun (""she shall be called *ishshah* because she was taken from *ish*"") survives partly in Afrikaans **vrou / man** but the sound-link is lost. AFR53 uses the archaic ""manninne / man"" to force it. I kept natural ""vrou / man"" and recommend a printed footnote explaining the Hebrew pun rather than distorting the Afrikaans. **Flagged** as a real choice for the team (this is the 🟡 item in `TRANSLATION_POLICY.md` § 6)."
Genesis,2,25,,translator,,"**Verse 25 — *arummim*.** ""naak"". Note the deliberate sound-play the author sets up with *arum* (""slu/listig"", the serpent) in 3:1 — ""naak"" / ""slu"" does not carry it in Afrikaans. To be handled when Genesis 3 is translated; noted here so the wordplay is not lost across the chapter boundary."
Genesis,3,,,translator,,"**Divine name.** Narrative uses *YHWH Elohim* → **HERE God** (vv.8, 9, 13, 14, 21, 22, 23). Within speech the serpent and the woman say plain *Elohim* → **God** (vv.1, 3, 5), a deliberate contrast preserved here. Consistent with the policy established in Genesis 2."
Genesis,3,1,,reader,a,"""listig"" (*arum*) speel in Hebreeus op ""naak"" (*arummim*, 2:25) — dieselfde klank verbind die mens se naaktheid en die slang se listigheid."
Genesis,3,1,,translator,,"**Verse 1 — *arum*.** ""listig"" (crafty/shrewd). The word puns on *arummim* (""naked"", 2:25); the sound-link is lost in Afrikaans and carried by the footnote (as flagged at the 2:25→3:1 boundary in genesis-02). Alternative ""slu"" is equally good; ""listig"" chosen as the more standard Afrikaans-Bible rendering for the serpent."
Genesis,3,1,,translator,,"**Verse 1 — *af ki amar Elohim*.** ""Het God werklik gesê…?"" The particle *af ki* introduces the serpent's insinuating question; the distortion (""from *any/every* tree"", *mikkol etz*) is preserved as ""van al die bome"", since the serpent overstates God's actual prohibition."
Genesis,3,3,4,translator,,"**Verses 3–4 — *temutun* / *lo mot temutun*.** The woman says ""anders sal julle sterwe"" (*pen temutun*); the serpent flatly negates God's 2:17 wording — ""Julle sal sekerlik nie sterwe nie"" (*lo mot temutun*), mirroring the emphatic *mot tamut* (""sekerlik sterwe"") of 2:17. The contradiction is the point and is kept verbally parallel."
Genesis,3,5,,reader,a,"""soos God"" (*ke'elohim*) kan ook ""soos goddelike wesens / gode"" beteken."
Genesis,3,5,,translator,,"**Verse 5 — *ke'elohim*.** ""soos God"". Could be ""like God"" or ""like divine beings/gods"" (*Elohim* is morphologically plural); footnoted. The traditional singular ""soos God"" is retained in the body."
Genesis,3,6,,translator,,"**Verse 6 — *lehaskil*.** ""om insig te gee"" (to make wise/prudent). Distinct from *chokmah* (wysheid); *haskil* is the verb of gaining insight/success."
Genesis,3,7,,translator,,"**Verse 7 — *chagorot*.** ""lendedoeke"" (loincloths), chosen at review. *chagorah* (from *chagar*, ""to gird"") is a girdle/loincloth worn around the loins, so ""lendedoek"" is the literal rendering; preferred over the apron tradition (""skorte""/""voorskote"") to stay true to the Hebrew. *eirummim* (""naak"") echoes 2:25 and contrasts with the *arum* serpent of 3:1."
Genesis,3,8,,reader,a,"""in die aandwind"" — letterlik ""teen die wind (koelte) van die dag""."
Genesis,3,8,,translator,,"**Verse 8 — *leruach hayyom*.** ""in die aandwind"". *ruach* here is ""wind/breeze"" (per the glossary context rule, not ""Gees""); *ruach hayyom* is idiomatically the cool evening breeze. Footnoted; AFR53 ""teen die wind van die dag""."
Genesis,3,15,,reader,a,"Tradisioneel as die eerste evangelie-belofte (die *protoevangelium*) gelees; ""Hy"" verwys na die nageslag. Dieselfde Hebreeuse werkwoord (*shuf*) staan by albei ""vermorsel""."
Genesis,3,15,,translator,,"**Verse 15 — *shuf* (protoevangelium).** The **same** verb *yeshufekha* / *teshufennu* renders both clauses, so I used ""vermorsel"" for both to preserve the identity, even though ""vermorsel die hakskeen"" is slightly unusual in Afrikaans (some translations vary it to ""byt/loer na"" for the heel). The faithful single-verb rendering plus a footnote is the better choice — **confirmed at review**: stay true to the one Hebrew verb even where the Afrikaans is awkward (see the ""fidelity over smoothness"" principle in `TRANSLATION_POLICY.md` § 4). ""Hy"" (*hu*) refers grammatically to the collective *zera* (""nageslag""); left lowercase to avoid importing the messianic interpretation into the text (it is noted in the footnote instead)."
Genesis,3,16,,reader,a,"""swaarkry"" (*itstsavon*) is dieselfde woord wat in v.17 die man se straf beskryf — die vrou en die man se vonnis eggo mekaar. Die tweede woord, ""pyn"" (*etzev*), is die geboortepyn self."
Genesis,3,16,,reader,b,"""begeerte"" (*teshuqah*) en ""heers"" — vergelyk dieselfde woordpaar in 4:7."
Genesis,3,16,,translator,,"**Verse 16 — *itstsavon* / *etzev* / *teshuqah*.** *itstsavon* → **""swaarkry""**, rendered identically for the woman (v.16) and the man (v.17), so the deliberate word-link binding their two judgments is visible in the body (not buried in a footnote). *etzev* (v.16b, the actual birth labour — a sister noun of the same root ע־צ־ב) → **""pyn""**. ""begeerte"" for *teshuqah*; the *teshuqah* + ""heers"" (*mashal*) pairing recurs in 4:7 (sin's desire for Cain) and is kept identical so that cross-reference survives. The exact sense of v.16b is debated (desire ""for"" vs ""against"" the husband); the neutral ""na jou man sal jou begeerte wees"" is retained."
Genesis,3,17,,translator,,"**Verses 17, 20–23 — *adam* / ""die mens"" / ""Adam"".** Per the committed *adam* article rule (2026-05-31): arthrous *ha-adam* → ""die mens"" (v.20 ""die mens het sy vrou Eva genoem""; v.22, 24), anarthrous *adam* of the individual → ""Adam"". So **v.17** (*ul'adam*) and **v.21** (*l'adam*) read ""Adam"" (back-applied at promotion of Genesis 4); the arthrous occurrences stay ""die mens""."
Genesis,3,20,,reader,a,"""Eva"" (*Chawwa*) klink soos die Hebreeuse woord vir ""lewe / lewende"" (*chai*)."
Genesis,3,20,23,translator,,"**Verses 17, 20–23 — *adam* / ""die mens"" / ""Adam"".** Per the committed *adam* article rule (2026-05-31): arthrous *ha-adam* → ""die mens"" (v.20 ""die mens het sy vrou Eva genoem""; v.22, 24), anarthrous *adam* of the individual → ""Adam"". So **v.17** (*ul'adam*) and **v.21** (*l'adam*) read ""Adam"" (back-applied at promotion of Genesis 4); the arthrous occurrences stay ""die mens""."
Genesis,3,20,,translator,,"**Verse 20 — *Chawwa* / Eva.** ""Eva"" (established Afrikaans form). The naming puns on *chai* (""living"") — ""moeder van alle lewendes""; footnoted."
Genesis,3,22,,translator,,"**Verse 22 — *ke'achad mimmennu*.** ""soos een van Ons"" — the divine plural again (cf. 1:26), left ambiguous as the Hebrew leaves it. The sentence breaks off (aposiopesis, *pen yishlach yado* …), rendered with an em-dash."
Genesis,3,24,,translator,,"**Verse 24 — *keruvim* / *lahat hacherev*.** ""gérubs"" (cherubim, transliterated established form); ""die vlam van die swaard wat heen en weer beweeg"" for *lahat hacherev hammithappekhet* (the whirling/flashing sword). *gérubs* proposed for the glossary."
Genesis,4,,,translator,,"**Divine name.** Genesis 4 uses *YHWH* → **HERE** (vv.1, 3, 4, 6, 9, 13, 15, 16, 26); plain *Elohim* → **God** in Eve's speech (v.25). Consistent with the established policy."
Genesis,4,1,,reader,a,"""verkry"" speel op die naam Kain (*Qayin* ~ *qanah*, ""verkry""). Die Hebreeus *et-YHWH* is moeilik — ""met die hulp van die HERE"" (of letterlik ""met die HERE"")."
Genesis,4,1,,reader,b,"""geken"" (*yada*, ""ken"") is hier die eufemisme vir die huwelikse omgang — dieselfde ""ken""-werkwoord wat in Hebreeus (en in Engels, ""knew"") so gebruik word."
Genesis,4,1,,reader,c,"""die mens"" (4:1, met lidwoord) teenoor ""Adam"" (4:25, eienaam): die Hebreeus self skakel hier van die soortnaam *ha-adam* na die eienaam *adam* oor."
Genesis,4,1,,translator,,"**Verses 1, 25 — *adam* / ""Adam"" (decision point).** Per the committed rule (article-driven): *ha-adam* **with the article** → ""die mens"" (v.1, ""die mens het sy vrou Eva geken""); **anarthrous** *adam* used as the individual's name → ""Adam"" (v.25, ""En Adam het sy vrou weer geken""). The Hebrew itself makes the switch — arthrous at v.1, anarthrous at v.25 — and we follow it. **Retroactive consequence:** the anarthrous *lə-adam* at **2:20, 3:17, 3:21** (already-promoted chapters) becomes ""Adam"" and must be updated on promotion of this chapter. (2:5, anarthrous but generic/pre-creation ""no human"", stays ""mens"".)"
Genesis,4,1,,translator,,"**Verse 1 — *qaniti … et-YHWH*.** ""Ek het 'n man verkry met die hulp van die HERE."" The clause is famously hard: *qaniti ish et-YHWH* literally ""I have acquired a man [with?] YHWH"". *et* may be the preposition ""with (the help of)"" (so most) or the accusative marker (yielding the unlikely ""I have gotten a man, the LORD""). I follow the majority ""with the help of"". The verb *qanah* (""acquire"") puns on the name *Qayin* (Kain) — footnoted."
Genesis,4,1,,translator,,"**Verse 1 — *yada*.** ""geken"" (changed from ""beken"" at review). *yada* (""to know"") is used here as the euphemism for marital intimacy; ""ken/geken"" is the **direct cognate** of the ordinary ""know"" verb, so it mirrors the Hebrew's own mechanism (plain verb + context doing the euphemistic work) — more faithful than the prefixed ""beken"" (which means ""confess"" in modern Afrikaans and is the AFR53/Statenvertaling word). Applied also at vv.17, 25; the euphemism is footnoted."
Genesis,4,3,5,translator,,"**Verses 3–5 — *minchah*.** ""offergawe"" (gift/tribute offering). Distinct from *zevach* (blood sacrifice, glossary → ""offer""); *minchah* is the general offering/gift, here both Cain's grain and Abel's animal. Proposed for the glossary."
Genesis,4,4,,translator,,"**Verse 4 — *vayisha* (*sha'ah*).** ""ag geslaan op"" (regarded / paid heed to), changed at review from ""met welgevalle aangesien"". *sha'ah* = ""gaze at / regard""; the favourable nuance is carried by the contrast with v.5 (""nie ag geslaan nie""), so the interpretive ""welgevalle"" is dropped — both clearer and more faithful. (""aangesien"" as a participle of *aansien* collides with the conjunction *aangesien* = ""since"", and reads awkwardly.)"
Genesis,4,7,,reader,a,"""begeerte"" en ""heers"" eggo presies 3:16 — die sonde se houvol op Kain word in dieselfde woorde as die vrou se vonnis beskryf."
Genesis,4,7,,translator,,"**Verse 7 — difficult verse.** *halo im teitiv se'et* — ""if you do well, [is there not] *se'et*?"" *se'et* (""lifting up"") implies acceptance / a lifted countenance (contrast ""his face fell"", v.5); rendered ""verheffing"". *lapetach chatat rovetz* — ""sin is *crouching* (like a beast) at the door"" — ""lê die sonde en loer voor die deur"". Crucially, *ve'elekha teshuqato ve'atah timshol bo* reuses the exact 3:16 pair — *teshuqah* (""begeerte"") + *mashal* (""heers"") — so the rendering is kept identical to 3:16 to preserve the deliberate echo."
Genesis,4,8,,reader,a,"Die Masoretiese Teks gee nie Kain se woorde nie; die Septuagint en Samaritaanse Pentateug voeg by: ""Kom ons gaan na die veld toe."""
Genesis,4,8,,translator,,"**Verse 8 — textual variant.** MT records that Cain ""said to"" Abel but gives no words; ""het met sy broer Abel gepraat"". The LXX, Samaritan Pentateuch, Peshitta and Vulgate supply ""Let us go out to the field."" Following the MT in the body; variant footnoted."
Genesis,4,13,,translator,,"**Verse 13 — *avon*.** ""My straf is groter as wat ek kan dra."" *avon* (glossary → ""ongeregtigheid"") here shades toward ""punishment for iniquity""; ""straf"" fits the context (Cain laments the sentence, not his guilt). Alternative: ""my skuld is te groot om te dra."" Flagged."
Genesis,4,14,,reader,a,"""grond"" (*adamah*) is die bewerkbare grond/akkergrond — Kain word van die grond wat hy bewerk het verban (vgl. die vloek, v.11–12), nie van die aarde (*erets*) self nie, waarop hy bly swerf. Dieselfde werkwoord ""verdryf"" (*garash*) is in 3:24 vir die mens se verbanning uit Eden gebruik."
Genesis,4,14,,translator,,"**Verse 14 — *adamah* / *erets*.** ""van die oppervlak van die grond af"" renders *me'al penei ha-adamah* literally. *adamah* (""grond"", cultivable soil) is kept distinct from *erets* (""aarde"", the wider earth, same verse) — Cain is driven from the **soil he farmed** (now cursed against him, v.11–12), not removed from the earth, on which he then wanders. *adamah* is a Leitwort here, rendered ""grond"" throughout the chapter (vv.2, 3, 10, 11, 12, 14) to keep the thread; ""landbougrond"" would be clearer but less literal and would break the keyword. The verb *garash* (""verdryf"") echoes 3:24 (the man driven from Eden). A reader footnote carries the clarification."
Genesis,4,15,,reader,a,"Die ""teken"" (die sogenaamde merk van Kain) se aard word nie genoem nie — dit beskerm hom, eerder as om hom te straf."
Genesis,4,15,,translator,,"**Verse 15, 24 — *shivatayim*.** ""sewevoudig"" (sevenfold), echoed in Lamech's boast (v.24, ""sewen-en-sewentigvoudig"") — the escalation of vengeance is kept verbally linked."
Genesis,4,16,,reader,a,"""Nod"" klink soos die Hebreeus vir ""swerwing"" (*nad*, vgl. ""swerwer"" in v.12, 14)."
Genesis,4,17,22,translator,,"**Verses 17–22 — proper names.** Established/transliterated Afrikaans forms: Henog, Irad, Mehújael, Metúsael, Lameg, Ada, Silla, Jabal, Jubal, Tubal-Kain, Naäma. *kinnor* → ""lier"", *ugav* → ""fluit"" (v.21); *lotesh … nechoshet uvarzel* → ""smid van … koper- en ystergereedskap"" (v.22)."
Genesis,4,24,,translator,,"**Verse 15, 24 — *shivatayim*.** ""sewevoudig"" (sevenfold), echoed in Lamech's boast (v.24, ""sewen-en-sewentigvoudig"") — the escalation of vengeance is kept verbally linked."
Genesis,4,25,,reader,a,"""Set"" (*Shet*) klink soos die Hebreeuse woord vir ""aangestel/gegee"" (*shat*)."
Genesis,4,25,,translator,,"**Verses 1, 25 — *adam* / ""Adam"" (decision point).** Per the committed rule (article-driven): *ha-adam* **with the article** → ""die mens"" (v.1, ""die mens het sy vrou Eva geken""); **anarthrous** *adam* used as the individual's name → ""Adam"" (v.25, ""En Adam het sy vrou weer geken""). The Hebrew itself makes the switch — arthrous at v.1, anarthrous at v.25 — and we follow it. **Retroactive consequence:** the anarthrous *lə-adam* at **2:20, 3:17, 3:21** (already-promoted chapters) becomes ""Adam"" and must be updated on promotion of this chapter. (2:5, anarthrous but generic/pre-creation ""no human"", stays ""mens"".)"
Genesis,4,26,,translator,,"**Verse 26 — *huchal*.** ""Toe is daar begin om die Naam van die HERE aan te roep."" The passive *huchal* (""it was begun"") is rendered impersonally; alternative ""Toe het die mense begin…"". *az* = ""then / at that time""."
Genesis,5,,,translator,,"**Divine name.** Genesis 5 uses *Elohim* → **God** (vv.1 ×2, 22, 24) and *YHWH* → **HERE** (v.29, in Lamech's naming speech). *ha-Elohim* (with article, vv.22, 24) is still ""God""."
Genesis,5,,,translator,,"**Numbers.** The ages are given as **numerals** (confirmed at review) for readability across the genealogy — equally faithful, since Hebrew has no separate numeral script."
Genesis,5,,,translator,,"**Genealogy formula — *yalad* / *holid* → ""die vader (ge)word van"".** *holid* (hiphil, the father's begetting) is rendered ""die vader geword van [son]"" (changed at review from ""verwek""), which also **matches the ""vader van"" phrasing already used in Genesis 4** (4:18). ""seuns en dogters gehad"" for the closing *vayyoled banim uvanot*. The Hebrew subtlety is preserved: **v.4 (Adam)** uses *yemei* (""Adam se dae … **was** 800 jaar""), while the other ""after begetting"" verses use *vaychi* (""… het … **geleef**""). The fixed frame: ""X het N jaar geleef, en hy het die vader geword van Y… [X het] nadat hy die vader van Y geword het, M jaar geleef, en hy het seuns en dogters gehad… so was al die dae van X … jaar; en hy het gesterf."""
Genesis,5,1,,reader,a,"""mens"" (*adam*) staan hier vir die mensdom (manlik en vroulik saam, v.2), soos in 1:27 — nie die individu Adam nie. Die eienaam ""Adam"" begin by v.3."
Genesis,5,1,,translator,,"**Verse 1 — *sefer toledot*.** ""die boek van die geslagsregister"" — the genealogical sense of *toledot* (committed glossary: ""wordingsgeskiedenis"" for origins, **""geslagsregister/geslagte""** for genealogies, as here). *bara* + *asah* both appear (""geskep… gemaak""), distinction preserved."
Genesis,5,1,2,translator,,"**Verses 1–2 — *adam* (generic).** Here *adam* is **mankind**, male and female together — ""die mens"" (v.1), and ""hulle naam 'mens' genoem"" (v.2). This is the collective sense (per the committed *adam* rule's generic exception), deliberately rendered ""manlik en vroulik"" to **match 1:27**. The personal name ""Adam"" begins at v.3 (""En Adam het … geleef"")."
Genesis,5,1,,translator,,"**Verses 1, 3 — *demut* / *tselem*.** ""gelykenis"" / ""beeld"" (committed renderings, as in 1:26). The echo is theological: God makes *adam* in His likeness (v.1), and Adam fathers Seth in *his* likeness and image (v.3). Kept verbally parallel."
Genesis,5,3,,reader,a,"Adam word ""die vader … van 'n seun na sy gelykenis, na sy beeld"" — 'n bewuste weerklank van 1:26–27, waar God die mens na sý beeld maak."
