Book,Chapter,Verse,Text
Genesis,1,30,"En aan elke wilde dier van die aarde en aan elke voël van die hemel en aan alles wat op die aarde kruip, waarin daar lewe is, gee Ek al die groen plante as voedsel."" En dit was so."
Genesis,1,31,"En God het alles gesien wat Hy gemaak het, en kyk, dit was baie goed. En dit was aand, en dit was môre — die sesde dag."
Genesis,2,1,"So is die hemel en die aarde voltooi, en hulle hele leërskare."
Genesis,2,2,"En God het op die sewende dag sy werk wat Hy gedoen het, voltooi; en op die sewende dag het Hy gerus van al sy werk wat Hy gedoen het."
Genesis,2,3,"En God het die sewende dag geseën en dit geheilig, omdat Hy daarop gerus het van al sy werk wat God geskep het deur dit te maak."
Genesis,2,4,Dit is die wordingsgeskiedenis van die hemel en die aarde toe hulle geskep is — op die dag toe die HERE God die aarde en die hemel gemaak het.
Genesis,2,5,"Daar was nog geen struik van die veld op die aarde nie, en geen plant van die veld het nog uitgespruit nie; want die HERE God het nog nie laat reën op die aarde nie, en daar was geen mens om die grond te bewerk nie."
Genesis,2,6,Maar 'n damp het uit die aarde opgestyg en die hele oppervlak van die grond besproei.
Genesis,2,7,"Toe het die HERE God die mens geformeer uit stof van die grond, en in sy neusgate die asem van die lewe geblaas; en die mens het 'n lewende wese geword."
Genesis,2,8,"En die HERE God het 'n tuin in Eden, in die ooste, geplant, en daar die mens geplaas wat Hy geformeer het."
Genesis,2,9,"En die HERE God het uit die grond allerhande bome laat uitspruit, begeerlik om te sien en goed om van te eet; ook die boom van die lewe in die middel van die tuin, en die boom van die kennis van goed en kwaad."
Genesis,2,10,"En daar het 'n rivier uit Eden gevloei om die tuin te besproei, en daarvandaan is dit verdeel en het vier hoofstrome geword."
Genesis,2,11,"Die naam van die eerste is Pison; dit is die een wat om die hele land Havila stroom, waar die goud is —"
Genesis,2,12,en die goud van daardie land is goed; daar is ook die balsemhars en die onikssteen.
Genesis,2,13,En die naam van die tweede rivier is Gihon; dit is die een wat om die hele land Kus stroom.
Genesis,2,14,En die naam van die derde rivier is die Tigris; dit is die een wat oos van Assirië loop. En die vierde rivier is die Eufraat.
Genesis,2,15,En die HERE God het die mens geneem en hom in die tuin van Eden gestel om dit te bewerk en te bewaar.
Genesis,2,16,"En die HERE God het die mens beveel en gesê: ""Van al die bome van die tuin mag jy vrylik eet;"
Genesis,2,17,"maar van die boom van die kennis van goed en kwaad, daarvan mag jy nie eet nie, want die dag as jy daarvan eet, sal jy sekerlik sterwe."""
Genesis,2,18,"En die HERE God het gesê: ""Dit is nie goed dat die mens alleen is nie; Ek sal vir hom 'n helper maak wat by hom pas."""
Genesis,2,19,"En die HERE God het uit die grond al die wilde diere van die veld en al die voëls van die hemel geformeer, en hulle na die mens gebring om te sien hoe hy hulle sou noem; en net soos die mens elke lewende wese genoem het, so was sy naam."
Genesis,2,20,En die mens het name gegee aan al die vee en aan die voëls van die hemel en aan al die wilde diere van die veld; maar vir Adam het hy geen helper gevind wat by hom pas nie.
Genesis,2,21,"Toe het die HERE God 'n diep slaap op die mens laat val, en hy het geslaap; en Hy het een van sy ribbes geneem en die plek daarvan met vlees toegemaak."
Genesis,2,22,"En die HERE God het die rib wat Hy van die mens geneem het, tot 'n vrou gebou, en haar na die mens gebring."
Genesis,2,23,"Toe sê die mens: ""Hierdie keer is dit been van my gebeente en vlees van my vlees; sy sal 'vrou' genoem word, want sy is uit die man geneem."""
Genesis,2,24,"Daarom sal 'n man sy vader en sy moeder verlaat en sy vrou aankleef, en hulle sal een vlees wees."
Genesis,2,25,"En hulle was altwee naak, die mens en sy vrou, en hulle was nie skaam voor mekaar nie."
Genesis,3,1,"En die slang was listiger as al die wilde diere van die veld wat die HERE God gemaak het. En hy sê vir die vrou: ""Het God werklik gesê: Julle mag nie eet van al die bome van die tuin nie?"""
Genesis,3,2,"En die vrou sê vir die slang: ""Van die vrugte van die bome van die tuin mag ons eet;"
Genesis,3,3,"maar van die vrugte van die boom wat in die middel van die tuin is, het God gesê: Julle mag daarvan nie eet nie en dit nie aanraak nie, anders sal julle sterwe."""
Genesis,3,4,"Toe sê die slang vir die vrou: ""Julle sal sekerlik nie sterwe nie;"
Genesis,3,5,"want God weet dat die dag as julle daarvan eet, julle oë sal oopgaan en julle soos God sal wees, wat goed en kwaad ken."""
Genesis,3,6,"En die vrou het gesien dat die boom goed was om van te eet, en dat dit 'n lus vir die oë was, en dat die boom begeerlik was om insig te gee; en sy het van sy vrugte geneem en geëet, en ook aan haar man by haar gegee, en hy het geëet."
Genesis,3,7,"Toe gaan altwee se oë oop, en hulle het besef dat hulle naak was; en hulle het vyeblare aanmekaargewerk en vir hulle lendedoeke gemaak."
Genesis,3,8,"En hulle het die geluid van die HERE God gehoor terwyl Hy in die tuin wandel in die aandwind; en die mens en sy vrou het hulle weggesteek vir die aangesig van die HERE God, tussen die bome van die tuin."
Genesis,3,9,"En die HERE God het na die mens geroep en vir hom gesê: ""Waar is jy?"""
Genesis,3,10,"En hy sê: ""Ek het U geluid in die tuin gehoor, en ek was bang, want ek is naak; en ek het my weggesteek."""
Genesis,3,11,"En Hy sê: ""Wie het jou vertel dat jy naak is? Het jy geëet van die boom waarvan Ek jou beveel het om nie te eet nie?"""
Genesis,3,12,"En die mens sê: ""Die vrou wat U my gegee het om by my te wees — sy het my van die boom gegee, en ek het geëet."""
Genesis,3,13,"Toe sê die HERE God vir die vrou: ""Wat het jy nou gedoen?"" En die vrou sê: ""Die slang het my mislei, en ek het geëet."""
Genesis,3,14,"Toe sê die HERE God vir die slang: ""Omdat jy dit gedoen het, is jy vervloek bo al die vee en bo al die wilde diere van die veld. Op jou buik sal jy seil, en stof sal jy eet al die dae van jou lewe."
Genesis,3,15,"En Ek sal vyandskap stel tussen jou en die vrou, en tussen jou nageslag en haar nageslag. Hy sal jou die kop vermorsel, en jy sal hom die hakskeen vermorsel."""
Genesis,3,16,"Aan die vrou het Hy gesê: ""Ek sal jou swaarkry en jou swangerskap grootliks vermeerder; met pyn sal jy kinders baar. En na jou man sal jou begeerte wees, en hy sal oor jou heers."""
Genesis,3,17,"En aan Adam het Hy gesê: ""Omdat jy geluister het na die stem van jou vrou en geëet het van die boom waarvan Ek jou beveel het: Jy mag daarvan nie eet nie — is die grond vervloek om jou ontwil; met swaarkry sal jy daarvan eet al die dae van jou lewe."
Genesis,3,18,"En dorings en distels sal dit vir jou laat uitspruit, en jy sal die plante van die veld eet."
Genesis,3,19,"In die sweet van jou aangesig sal jy brood eet totdat jy terugkeer na die grond, want daaruit is jy geneem; want stof is jy, en tot stof sal jy terugkeer."""
Genesis,3,20,"En die mens het sy vrou Eva genoem, omdat sy die moeder van alle lewendes geword het."
Genesis,3,21,En die HERE God het vir Adam en sy vrou klere van vel gemaak en hulle aangetrek.
Genesis,3,22,"En die HERE God het gesê: ""Kyk, die mens het geword soos een van Ons, om goed en kwaad te ken. En nou — dat hy nie sy hand uitsteek en ook van die boom van die lewe neem en eet en vir ewig lewe nie!"""
Genesis,3,23,Daarom het die HERE God hom uit die tuin van Eden weggestuur om die grond te bewerk waaruit hy geneem is.
Genesis,3,24,"So het Hy die mens verdryf; en Hy het oos van die tuin van Eden die gérubs laat woon, en die vlam van die swaard wat heen en weer beweeg, om die pad na die boom van die lewe te bewaak."
Genesis,4,1,"En die mens het sy vrou Eva geken, en sy het swanger geword en Kain gebaar; en sy het gesê: ""Ek het 'n man verkry met die hulp van die HERE."""
Genesis,4,2,"En sy het weer gebaar — sy broer Abel. En Abel het 'n skaapherder geword, maar Kain was 'n bewerker van die grond."
Genesis,4,3,"En ná verloop van tyd het Kain van die vrugte van die grond 'n offergawe aan die HERE gebring,"
Genesis,4,4,"en Abel, ook hy, het van die eersgeborenes van sy kleinvee gebring, van hulle vet. En die HERE het ag geslaan op Abel en sy offergawe,"
Genesis,4,5,"maar op Kain en sy offergawe het Hy nie ag geslaan nie. Toe word Kain baie kwaad, en sy gesig het verander."
Genesis,4,6,"En die HERE het vir Kain gesê: ""Waarom is jy kwaad, en waarom het jou gesig verander?"
Genesis,4,7,"Is dit nie so dat as jy goed doen, daar verheffing is nie? Maar as jy nie goed doen nie, lê die sonde en loer voor die deur; en na jou is sy begeerte, maar jy moet oor hom heers."""
Genesis,4,8,"En Kain het met sy broer Abel gepraat. En toe hulle in die veld was, het Kain teen sy broer Abel opgestaan en hom doodgeslaan."
Genesis,4,9,"Toe sê die HERE vir Kain: ""Waar is jou broer Abel?"" En hy sê: ""Ek weet nie. Is ek my broer se wagter?"""
Genesis,4,10,"En Hy sê: ""Wat het jy gedoen? Die stem van jou broer se bloed roep na My uit die grond."
Genesis,4,11,"En nou is jy vervloek, weg van die grond wat sy mond oopgemaak het om jou broer se bloed uit jou hand te ontvang."
Genesis,4,12,"As jy die grond bewerk, sal dit nie meer sy krag aan jou gee nie. 'n Swerwer en vlugteling sal jy op die aarde wees."""
Genesis,4,13,"Toe sê Kain vir die HERE: ""My straf is groter as wat ek kan dra."
Genesis,4,14,"Kyk, U verdryf my vandag van die oppervlak van die grond af, en vir U aangesig sal ek verborge wees; en ek sal 'n swerwer en vlugteling op die aarde wees, en elkeen wat my kry, sal my doodmaak."""
Genesis,4,15,"Maar die HERE het vir hom gesê: ""Daarom, elkeen wat Kain doodmaak — sewevoudig sal dit gewreek word."" En die HERE het vir Kain 'n teken gestel, sodat niemand wat hom kry, hom sou doodslaan nie."
Genesis,4,16,"Toe het Kain van die aangesig van die HERE af weggegaan en gaan woon in die land Nod, oos van Eden."
Genesis,4,17,"En Kain het sy vrou geken, en sy het swanger geword en Henog gebaar. En hy het 'n stad gebou en die stad genoem na die naam van sy seun Henog."
Genesis,4,18,En vir Henog is Irad gebore; en Irad was die vader van Mehújael; en Mehújael was die vader van Metúsael; en Metúsael was die vader van Lameg.
Genesis,4,19,"En Lameg het vir hom twee vroue geneem; die naam van die een was Ada, en die naam van die tweede Silla."
Genesis,4,20,En Ada het Jabal gebaar; hy was die vader van die wat in tente woon en vee aanhou.
Genesis,4,21,En die naam van sy broer was Jubal; hy was die vader van almal wat die lier en die fluit bespeel.
Genesis,4,22,"En Silla, ook sy, het Tubal-Kain gebaar, 'n smid van allerhande koper- en ystergereedskap; en die suster van Tubal-Kain was Naäma."
Genesis,4,23,"En Lameg het vir sy vroue gesê: ""Ada en Silla, hoor my stem! Vroue van Lameg, luister na my woord! Want ek het 'n man doodgeslaan vir my wond, en 'n seun vir my kneusplek."
Genesis,4,24,"As Kain sewevoudig gewreek word, dan Lameg sewen-en-sewentigvoudig."""
Genesis,4,25,"En Adam het sy vrou weer geken, en sy het 'n seun gebaar en hom Set genoem; want, het sy gesê, ""God het vir my 'n ander nageslag gegee in die plek van Abel, omdat Kain hom doodgeslaan het."""
Genesis,4,26,"En vir Set, ook vir hom, is 'n seun gebore, en hy het hom Enos genoem. Toe is daar begin om die Naam van die HERE aan te roep."
Genesis,5,1,"Dit is die boek van die geslagsregister van Adam. Op die dag toe God die mens geskep het, het Hy hom na die gelykenis van God gemaak;"
Genesis,5,2,"manlik en vroulik het Hy hulle geskep, en Hy het hulle geseën en hulle naam ""mens"" genoem op die dag toe hulle geskep is."
Genesis,5,3,"En Adam het 130 jaar geleef, en hy het die vader geword van 'n seun na sy gelykenis, na sy beeld, en hom Set genoem."
Genesis,5,4,"En Adam se dae nadat hy die vader van Set geword het, was 800 jaar; en hy het seuns en dogters gehad."
Genesis,5,5,"So was al die dae van Adam wat hy geleef het, 930 jaar; en hy het gesterf."
Genesis,5,6,"En Set het 105 jaar geleef, en hy het die vader geword van Enos."
Genesis,5,7,"En Set het nadat hy die vader van Enos geword het, 807 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,8,So was al die dae van Set 912 jaar; en hy het gesterf.
Genesis,5,9,"En Enos het 90 jaar geleef, en hy het die vader geword van Kenan."
Genesis,5,10,"En Enos het nadat hy die vader van Kenan geword het, 815 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,11,So was al die dae van Enos 905 jaar; en hy het gesterf.
Genesis,5,12,"En Kenan het 70 jaar geleef, en hy het die vader geword van Mahalálel."
Genesis,5,13,"En Kenan het nadat hy die vader van Mahalálel geword het, 840 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,14,So was al die dae van Kenan 910 jaar; en hy het gesterf.
Genesis,5,15,"En Mahalálel het 65 jaar geleef, en hy het die vader geword van Jered."
Genesis,5,16,"En Mahalálel het nadat hy die vader van Jered geword het, 830 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,17,So was al die dae van Mahalálel 895 jaar; en hy het gesterf.
Genesis,5,18,"En Jered het 162 jaar geleef, en hy het die vader geword van Henog."
Genesis,5,19,"En Jered het nadat hy die vader van Henog geword het, 800 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,20,So was al die dae van Jered 962 jaar; en hy het gesterf.
Genesis,5,21,"En Henog het 65 jaar geleef, en hy het die vader geword van Metúsalag."
Genesis,5,22,"En Henog het met God gewandel nadat hy die vader van Metúsalag geword het, 300 jaar; en hy het seuns en dogters gehad."
Genesis,5,23,So was al die dae van Henog 365 jaar.
Genesis,5,24,"En Henog het met God gewandel; en hy was nie meer nie, want God het hom weggeneem."
Genesis,5,25,"En Metúsalag het 187 jaar geleef, en hy het die vader geword van Lameg."
Genesis,5,26,"En Metúsalag het nadat hy die vader van Lameg geword het, 782 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,27,So was al die dae van Metúsalag 969 jaar; en hy het gesterf.
Genesis,5,28,"En Lameg het 182 jaar geleef, en hy het die vader geword van 'n seun."
Genesis,5,29,"En hy het hom Noag genoem en gesê: ""Hierdie een sal ons troos in ons werk en in die swaarkry van ons hande, vanweë die grond wat die HERE vervloek het."""
Genesis,5,30,"En Lameg het nadat hy die vader van Noag geword het, 595 jaar geleef, en hy het seuns en dogters gehad."
Genesis,5,31,So was al die dae van Lameg 777 jaar; en hy het gesterf.
Genesis,5,32,"En Noag was 500 jaar oud, en Noag het die vader geword van Sem, Gam en Jafet."
Genesis,6,1,"En toe die mens begin vermeerder het op die oppervlak van die grond, en daar dogters vir hulle gebore is,"
Genesis,6,2,"het die seuns van God die dogters van die mens gesien, dat hulle mooi was; en hulle het vir hulle vroue geneem uit almal wat hulle verkies het."
Genesis,6,3,"Toe sê die HERE: ""My Gees sal nie vir altyd in die mens bly nie, omdat hy ook vlees is; en sy dae sal 120 jaar wees."""
Genesis,6,4,"Die Nefilim was in daardie dae op die aarde — en ook daarna — toe die seuns van God by die dogters van die mens ingegaan en hulle vir hulle kinders gebaar het. Dit was die helde van ouds, die manne van naam."
Genesis,6,5,"En die HERE het gesien dat die boosheid van die mens groot was op die aarde, en dat elke geneigdheid van die gedagtes van sy hart die hele dag net sleg was."
Genesis,6,6,"Toe het dit die HERE berou dat Hy die mens op die aarde gemaak het, en Hy was bedroef in sy hart."
Genesis,6,7,"En die HERE het gesê: ""Ek sal die mens wat Ek geskep het, van die oppervlak van die grond af uitwis — mens sowel as vee, kruipende diere en die voëls van die hemel; want dit berou My dat Ek hulle gemaak het."""
Genesis,6,8,Maar Noag het genade gevind in die oë van die HERE.
Genesis,6,9,"Dit is die geslagsregister van Noag. Noag was 'n regverdige man, opreg onder sy tydgenote; Noag het met God gewandel."
Genesis,6,10,"En Noag het die vader geword van drie seuns: Sem, Gam en Jafet."
Genesis,6,11,"En die aarde was verdorwe voor die aangesig van God, en die aarde was vol geweld."
Genesis,6,12,"En God het die aarde gesien, en kyk, dit was verdorwe; want alle vlees het sy weg op die aarde verderf."
Genesis,6,13,"Toe sê God vir Noag: ""Die einde van alle vlees het voor My gekom, want die aarde is vol geweld deur hulle; en kyk, Ek gaan hulle saam met die aarde verderf."
Genesis,6,14,"Maak vir jou 'n ark van goferhout; met kamers moet jy die ark maak, en jy moet dit van binne en van buite met pik bestryk."
Genesis,6,15,"En so moet jy dit maak: die lengte van die ark 300 el, sy breedte 50 el, en sy hoogte 30 el."
Genesis,6,16,"Jy moet 'n opening vir die ark maak, en dit tot een el van bo af voltooi; en die deur van die ark moet jy in sy sykant plaas. Jy moet dit maak met 'n onderste, 'n tweede en 'n derde verdieping."
Genesis,6,17,"En kyk, Ek bring die watervloed oor die aarde om alle vlees waarin die asem van die lewe is, van onder die hemel te verdelg; alles wat op die aarde is, sal omkom."
Genesis,6,18,"Maar Ek sal my verbond met jou oprig; en jy moet in die ark ingaan, jy en jou seuns en jou vrou en jou seuns se vroue saam met jou."
Genesis,6,19,"En van al wat lewe, van alle vlees, moet jy twee van elke soort in die ark inbring om saam met jou in die lewe te hou; manlik en vroulik moet hulle wees."
Genesis,6,20,"Van die voëls volgens hulle soort en van die vee volgens hulle soort, van alle kruipende diere van die grond volgens hulle soort — twee van elke soort sal na jou toe kom om in die lewe gehou te word."
Genesis,6,21,"En jy, neem vir jou van al die voedsel wat geëet word, en versamel dit by jou; en dit sal vir jou en vir hulle as voedsel dien."""
Genesis,6,22,"En Noag het dit gedoen; net soos God hom beveel het, so het hy gedoen."
Genesis,7,1,"Toe sê die HERE vir Noag: ""Gaan in die ark, jy en jou hele huisgesin, want Ek het jou as regverdig voor My gesien in hierdie geslag."
Genesis,7,2,"Van al die rein diere moet jy vir jou sewe-sewe neem, die mannetjie en sy wyfie; en van die diere wat nie rein is nie, twee, die mannetjie en sy wyfie;"
Genesis,7,3,"ook van die voëls van die hemel sewe-sewe, mannetjie en wyfie, om die geslag aan die lewe te hou op die oppervlak van die hele aarde."
Genesis,7,4,"Want oor nog sewe dae laat Ek dit op die aarde reën, 40 dae en 40 nagte; en Ek sal al die lewende wesens wat Ek gemaak het, van die oppervlak van die grond af uitwis."""
Genesis,7,5,En Noag het gedoen net soos die HERE hom beveel het.
Genesis,7,6,En Noag was 600 jaar oud toe die watervloed oor die aarde gekom het.
Genesis,7,7,"En Noag het in die ark ingegaan, en sy seuns en sy vrou en sy seuns se vroue saam met hom, vanweë die waters van die vloed."
Genesis,7,8,"Van die rein diere en van die diere wat nie rein is nie, en van die voëls en van alles wat op die grond kruip,"
Genesis,7,9,"het hulle twee-twee na Noag in die ark ingegaan, mannetjie en wyfie, soos God Noag beveel het."
Genesis,7,10,En ná die sewe dae het die waters van die vloed oor die aarde gekom.
Genesis,7,11,"In die seshonderdste jaar van Noag se lewe, in die tweede maand, op die 17de dag van die maand — op daardie dag het al die fonteine van die groot dieptes oopgebreek, en die sluise van die hemel het oopgegaan."
Genesis,7,12,En die reën was op die aarde 40 dae en 40 nagte.
Genesis,7,13,"Op daardie selfde dag het Noag in die ark ingegaan, en Sem en Gam en Jafet, Noag se seuns, en Noag se vrou en die drie vroue van sy seuns saam met hulle;"
Genesis,7,14,"hulle, en al die wilde diere volgens hulle soort, en al die vee volgens hulle soort, en al die kruipende diere wat op die aarde kruip volgens hulle soort, en al die voëls volgens hulle soort — elke voël, alles wat vlerke het."
Genesis,7,15,"En hulle het twee-twee na Noag in die ark ingegaan, van alle vlees waarin die asem van die lewe is."
Genesis,7,16,"En die wat ingegaan het, was mannetjie en wyfie van alle vlees, soos God hom beveel het; en die HERE het agter hom toegesluit."
Genesis,7,17,"En die vloed was 40 dae lank op die aarde; en die waters het vermeerder en die ark opgelig, sodat dit bo die aarde uitgestyg het."
Genesis,7,18,"En die waters het die oorhand gekry en geweldig vermeerder op die aarde, en die ark het op die oppervlak van die waters gedryf."
Genesis,7,19,"En die waters het buitengewoon sterk die oorhand gekry op die aarde, en al die hoë berge onder die hele hemel is oordek."
Genesis,7,20,"Vyftien el hoog het die waters die oorhand gekry, en die berge is oordek."
Genesis,7,21,"En alle vlees wat op die aarde beweeg het, het gesterf — die voëls en die vee en die wilde diere en al die gedierte wat op die aarde wemel, en al die mense."
Genesis,7,22,"Alles wat die asem van die lewe in sy neusgate gehad het, van alles wat op die droë grond was, het gesterf."
Genesis,7,23,"So het Hy al die lewende wesens uitgewis wat op die oppervlak van die grond was — mens sowel as vee, kruipende diere en voëls van die hemel; hulle is van die aarde uitgewis, en net Noag het oorgebly, en die wat saam met hom in die ark was."
Genesis,7,24,En die waters het 150 dae lank die oorhand gehad oor die aarde.
John,1,1,"In die begin was die Woord, en die Woord was by God, en die Woord was God."
John,1,2,Hy was in die begin by God.
John,1,3,"Alle dinge het deur Hom ontstaan, en sonder Hom het nie een ding ontstaan wat ontstaan het nie."
John,1,4,"In Hom was lewe, en die lewe was die lig van die mense."
John,1,5,"En die lig skyn in die duisternis, en die duisternis het dit nie oorweldig nie."
John,1,6,"Daar het 'n mens gekom, gestuur van God; sy naam was Johannes."
John,1,7,"Hy het tot getuienis gekom, om te getuig oor die Lig, sodat almal deur hom sou glo."
John,1,8,"Hy was nie self die Lig nie, maar het gekom om te getuig oor die Lig."
John,1,9,"Die ware Lig, wat elke mens verlig, was besig om in die wêreld te kom."
John,1,10,"Hy was in die wêreld, en die wêreld het deur Hom ontstaan, en die wêreld het Hom nie geken nie."
John,1,11,"Hy het na sy eie gekom, en sy eie mense het Hom nie ontvang nie."
John,1,12,"Maar aan almal wat Hom wel ontvang het, het Hy die reg gegee om kinders van God te word — aan hulle wat in sy Naam glo —"
John,1,13,"wat nie uit bloed nie, en ook nie uit die wil van die vlees nie, en ook nie uit die wil van 'n man nie, maar uit God gebore is."
John,1,14,"En die Woord het vlees geword en onder ons kom woon — en ons het sy heerlikheid aanskou, 'n heerlikheid soos van die Enigste van die Vader — vol van genade en waarheid."
John,1,15,"Johannes getuig oor Hom en het uitgeroep: ""Hierdie is Hy van wie ek gesê het: 'Hy wat ná my kom, het vóór my geword, want Hy was eerder as ek.'"""
John,1,16,"Want uit sy volheid het ons almal ontvang, en wel genade op genade."
John,1,17,Want die wet is deur Moses gegee; die genade en die waarheid het deur Jesus Christus gekom.
John,1,18,"Niemand het ooit God gesien nie; die Enigste — self God — wat aan die boesem van die Vader is, Hý het Hom bekendgemaak."
John,1,19,"En dit is die getuienis van Johannes toe die Jode priesters en Leviete uit Jerusalem na hom gestuur het om hom te vra: ""Wie is jy?"""
John,1,20,"En hy het bely en nie ontken nie, en bely: ""Ek is nie die Christus nie."""
John,1,21,"Toe vra hulle hom: ""Wat dan? Is jy Elia?"" En hy sê: ""Ek is nie."" ""Is jy die Profeet?"" En hy het geantwoord: ""Nee."""
John,1,22,"Toe sê hulle vir hom: ""Wie is jy dan? Sodat ons 'n antwoord kan gee aan dié wat ons gestuur het. Wat sê jy van jouself?"""
John,1,23,"Hy het gesê: ""Ek is 'n stem van een wat in die woestyn uitroep: 'Maak die pad van die Here reguit,' soos die profeet Jesaja gesê het."""
John,1,24,"En dié wat gestuur is, was uit die Fariseërs."
John,1,25,"En hulle het hom gevra en vir hom gesê: ""Waarom doop jy dan, as jy nie die Christus is nie, en ook nie Elia of die Profeet nie?"""
John,1,26,"Johannes het hulle geantwoord en gesê: ""Ek doop met water; tussen julle staan Een wat julle nie ken nie —"
John,1,27,"Hy wat ná my kom, van wie ek nie waardig is om die skoenriem los te maak nie."""
John,1,28,"Hierdie dinge het in Betanië plaasgevind, oorkant die Jordaan, waar Johannes besig was om te doop."
John,1,29,"Die volgende dag sien hy Jesus na hom toe kom en sê: ""Kyk, die Lam van God wat die sonde van die wêreld wegneem!"
John,1,30,"Hy is dit oor wie ek gesê het: 'Ná my kom 'n man wat vóór my geword het, want Hy was eerder as ek.'"
John,1,31,"En self het ek Hom nie geken nie; maar sodat Hy aan Israel openbaar sou word, daarom het ek gekom om met water te doop."""
John,1,32,"En Johannes het getuig en gesê: ""Ek het die Gees uit die hemel sien neerdaal soos 'n duif, en Hy het op Hom gebly."
John,1,33,"En self het ek Hom nie geken nie, maar Hy wat my gestuur het om met water te doop, Hý het vir my gesê: 'Op wie jy die Gees sien neerdaal en bly, Hy is dit wat met die Heilige Gees doop.'"
John,1,34,"En ek het gesien en getuig dat Hy die Seun van God is."""
